text,label
"Home based packaging job. Earn Rs 25000/month. Material provided after Rs 5000 security deposit. No experience needed. Guaranteed buy back. WhatsApp for details. Limited offer.",scam
"McKinsey summer internship for MBA students. 10 week program. Competitive compensation. Case interview based selection. Apply through mckinsey.com. Resume and cover letter required.",safe
"FASTEST way to earn money! Online ad posting job. Rs 500 per ad. Pay Rs 1000 registration. No skills needed. Work from mobile. Daily payment via WhatsApp.",scam
"Reliance Jio internship for engineering students. 2 month program. Stipend Rs 15000/month. Apply through official Jio careers page. Technical aptitude test and interview.",safe
"Become a millionaire in 30 days! Online business opportunity. Investment Rs 10000 only. Guaranteed 10x returns. No experience needed. WhatsApp for secret strategy. Limited time.",scam
"JP Morgan Chase technology internship. 10 week summer program. Competitive stipend. Coding challenge and superday interviews. Apply at jpmorgan.com/careers.",safe
"Hiring for WhatsApp forwarding job. Earn Rs 8000 daily. Just forward messages. Pay Rs 500 registration. No interview. Immediate joining. Guaranteed payment every week.",scam
"Uber engineering internship for computer science students. 3 month program. Competitive compensation. Online assessment and team matching interviews. Apply through uber.com/careers.",safe
"Online tutoring job. Earn Rs 50000/month. No teaching experience required. Pay Rs 3000 for certification. Guaranteed students provided. WhatsApp only. Limited seats available.",scam
"Nvidia deep learning internship for ML students. 6 month program. Stipend and benefits provided. Research paper review and coding interview. Apply at nvidia.com/careers.",safe
"Crypto investment internship. Guaranteed 1000% returns in 1 week. Pay upfront fee of Rs 20000 in Bitcoin to start. No work required just invest and earn. WhatsApp me.",scam
"IBM software engineering internship. Join our global team to work on AI projects. 3 month duration. Competitive stipend. Apply on IBM careers portal. Need strong CS fundamentals.",safe
"Multi-level marketing opportunity! Become your own boss. Pay Rs 1000 to join our pyramid scheme. No limits on earnings. Build your downline. Direct message for zoom link.",scam
"Intel hardware engineering intern. M.Tech students only. 6 month co-op. VLSI design experience required. Standard industry stipend. Technical interview series.",safe
"Get rich quick! Wire transfer Rs 5000 to this account and receive Rs 50000 tomorrow. Guaranteed wire transfer. Immediate payment. DM for account details.",scam
"Paytm data science internship. Mumbai location. 2 months. Strong Python and SQL needed. Online assessment and virtual interview. Apply via internal portal.",safe
"Sales agent role. Commission based only. No base salary. Must pay Rs 2000 for sales kit. Be an entrepreneur. Build your own network.",scam
"Oracle database management intern. Summer 2026. B.Tech CS students. Database concepts and PL/SQL needed. HackerRank test and technical interviews.",safe
"Start a franchise with 0 investment! Just pay Rs 10000 processing fee. Guaranteed clients. Immediate ROI. No interview. 100% legitimate.",scam
"Cisco networking internship. Open to CCNA certified students. 3 month program. Bangalore office. Standard intern pay. Virtual technical interview.",safe
"Earn by watching videos! Work from home. Daily payouts. Pay Rs 500 to unlock video dashboard. Earn Rs 100 per video. DM us now.",scam
"PwC risk advisory internship. For CA/MBA students. 8 weeks. Apply on campus. Multiple rounds of case interviews.",safe
"Typing job from mobile. Type captchas and earn Rs 5000 daily. Software activation fee Rs 1500. No experience needed. Start instantly.",scam
"HDFC Bank summer internship program. Retail banking and finance roles. 2 months. Stipend as per industry standards. Interview and GD rounds.",safe
"Data entry via SMS. Earn Rs 10 per SMS. Registration fee Rs 999. Guaranteed earning. Work anytime anywhere. Direct message.",scam
"Morgan Stanley quantitative finance internship. PhD/MFE students. High compensation. Mathematical modeling test and rigorous interviews.",safe
"Be an influencer! Pay Rs 5000 for our course and get guaranteed brand deals within a week. No prior followers needed. Urgent.",scam
"Sony India electronics internship. R&D division. 6 months. Embedded systems knowledge required. Technical interview and coding test.",safe
"Get paid to listen to music! Pay Rs 200 platform fee. Earn Rs 50 per song. Unlimited earnings. Join Telegram group.",scam
"Meta AI research intern. PhD candidates in NLP/CV. 12 weeks. High competitive pay. Research presentation and multiple interviews.",safe
"Easy copy paste ad posting! Rs 100 per ad. Need to deposit Rs 2000 security money. Guaranteed weekly payments. WhatsApp only.",scam
"Apple hardware validation intern. MS students in EE. 3-6 months. Silicon validation experience preferred. Technical interview.",safe
"Make money rating apps! Pay Rs 800 subscription fee. Earn Rs 200 per rating. Quick money. Start today.",scam
"Netflix software engineering intern. Summer 2026. Java/Python backend. Competitive stipend. System design and coding interviews.",safe
"Stock market guaranteed tips! Pay Rs 5000 upfront. We trade for you. 100% profit. Wire transfer only.",scam
"Qualcomm wireless communications intern. Masters students. 3 months. DSP and wireless protocols. Technical interview.",safe
"Data entry for reputed firm. Buy our software for Rs 3000 to start working. Earn Rs 20000 monthly. No interview.",scam
"Amazon web services cloud intern. 3 month summer program. Cloud computing basics required. Technical assessment and loop interviews.",safe
"Work abroad! Pay Rs 50000 visa processing fee upfront. Guaranteed job in Canada. No interview needed. Urgent.",scam
"Spotify data engineering intern. Summer program. Scala/Python and SQL. Technical and behavioral interviews. Competitive pay.",safe
"Part time job for students. No work just invest Rs 1000 and get Rs 500 daily. MLM scheme. Bring 2 friends to earn more.",scam
"Salesforce software engineer intern. 12 weeks. Apex and Java. Technical screening and virtual interviews.",safe
"Earn Rs 10000 a week. Wire transfer fee Rs 1500. We will double your money in 24 hours. No questions asked.",scam
"PayPal product management intern. MBA candidates. 10 weeks. Product sense and execution interviews.",safe
"Online captcha solving job. Activation fee Rs 600. Earn Rs 1000 daily. Join our premium telegram group.",scam
"Twitter machine learning intern. Recommender systems. 12 weeks. Coding and ML design interviews.",safe
"Immediate hiring. Pay Rs 2000 to schedule interview. 100% job placement. Work from home.",scam
"VMware kernel development intern. MS/PhD students. OS internals knowledge. Technical deep dive interviews.",safe
"Earn money reading emails! Pay Rs 500 joining fee. Earn Rs 10 per email. Daily payouts.",scam
"Stripe frontend engineer intern. Summer program. React/TypeScript. Technical and pair programming interviews.",safe
"Work from home data typing. Pay Rs 1500 for training package. Earn Rs 20000 a month. WhatsApp me.",scam
"Lyft backend engineer intern. 12 weeks. Go/Python. Systems design and coding interviews. Competitive stipend.",safe
"Guaranteed lottery winner! Pay Rs 1000 processing fee to claim your prize of Rs 1 crore. Wire transfer immediately.",scam
"Dropbox security engineer intern. Summer program. Network security and cryptography. Technical assessment.",safe
"Be your own boss. Commission based only. Buy Rs 10000 inventory upfront. Sell to family and friends. Pyramid structure.",scam
"Airbnb data scientist intern. Summer program. SQL and product analytics. Take home challenge and interviews.",safe
"Job offer without interview! Pay Rs 5000 onboarding fee. Immediate joining letter. Work from home.",scam
"Slack software engineer intern. Summer program. Web development. Technical and behavioral interviews.",safe
"Get paid to click ads. Registration fee Rs 1000. Earn Rs 5 per click. Unlimited clicks. WhatsApp only.",scam
"Pinterest machine learning intern. Summer program. Computer vision/NLP. Coding and ML interviews.",safe
"Work from home simple job. Pay Rs 1200 for company ID card. Earn Rs 15000 monthly. Immediate joining.",scam
"Uber data science intern. Summer program. Experimentation and modeling. Technical and case study interviews.",safe
"Make money typing captcha. Security deposit Rs 2000. Earn Rs 5000 daily. WhatsApp group link.",scam
"LinkedIn software engineer intern. Summer program. Java backend. Technical phone screen and virtual onsite.",safe
"Immediate data entry job. Pay Rs 1500 software fee. Work from mobile. Earn Rs 25000 monthly.",scam
"Square software engineer intern. Summer program. Ruby/Java. Technical and pair programming interviews.",safe
"Earn Rs 5000 daily. Just share links. Pay Rs 500 activation fee. Guaranteed income.",scam
"Robinhood data engineer intern. Summer program. Python and SQL. Technical and data modeling interviews.",safe
"Guaranteed job placement. Pay Rs 5000 consulting fee. No interview. Immediate offer letter.",scam
"Doordash software engineer intern. Summer program. Kotlin/Python. Technical and behavioral interviews.",safe
"Work from home ad posting. Pay Rs 1000 registration. Earn Rs 20000 monthly. WhatsApp only.",scam
"Instacart machine learning intern. Summer program. Recommendation systems. Coding and ML interviews.",safe
"Make money online fast. Pay Rs 2000 for secret method. Earn Rs 50000 monthly. Immediate returns.",scam
"Coinbase software engineer intern. Summer program. Go/Ruby. Technical and pair programming interviews.",safe
"Data entry job. Pay Rs 1500 training fee. Earn Rs 20000 monthly. Work from home.",scam
"Snapchat software engineer intern. Summer program. C++/Java. Technical and behavioral interviews.",safe
"Earn money reading books. Pay Rs 1000 joining fee. Earn Rs 500 per book. Daily payouts.",scam
"Zoom software engineer intern. Summer program. C++/Java. Technical and systems design interviews.",safe
"Guaranteed data entry job. Pay Rs 2000 security deposit. Earn Rs 25000 monthly. Work from mobile.",scam
"Twilio software engineer intern. Summer program. Java/Python. Technical and pair programming interviews.",safe
"Make money watching videos. Pay Rs 500 registration. Earn Rs 100 per video. WhatsApp me.",scam
"Asana software engineer intern. Summer program. TypeScript/React. Technical and behavioral interviews.",safe
"Work from home typing job. Pay Rs 1000 for software. Earn Rs 15000 monthly. Immediate start.",scam
"Plaid software engineer intern. Summer program. Go/TypeScript. Technical and pair programming interviews.",safe
"Earn Rs 10000 daily. Pay Rs 2000 upfront fee. Guaranteed returns. WhatsApp only.",scam
"Databricks software engineer intern. Summer program. Scala/Java. Technical and systems design interviews.",safe
"Data entry work from home. Pay Rs 1500 activation fee. Earn Rs 20000 monthly. No experience needed.",scam
"Snowflake software engineer intern. Summer program. C++/Java. Technical and systems design interviews.",safe
"Make money online. Pay Rs 1000 registration. Earn Rs 15000 monthly. Work from mobile.",scam
"Roku software engineer intern. Summer program. C++/BrightScript. Technical and behavioral interviews.",safe
"Work from home data typing. Pay Rs 2000 security deposit. Earn Rs 25000 monthly. WhatsApp me.",scam
"Zillow software engineer intern. Summer program. Java/Python. Technical and behavioral interviews.",safe
"Earn Rs 5000 daily. Pay Rs 500 joining fee. Guaranteed income. WhatsApp only.",scam
"Redfin software engineer intern. Summer program. Java/React. Technical and behavioral interviews.",safe
"Data entry job. Pay Rs 1000 for training. Earn Rs 15000 monthly. Work from home.",scam
"Wayfair software engineer intern. Summer program. Python/Java. Technical and behavioral interviews.",safe
"Make money typing captcha. Pay Rs 1500 activation fee. Earn Rs 20000 monthly. Immediate start.",scam
"Expedia software engineer intern. Summer program. Java/Kotlin. Technical and behavioral interviews.",safe
"Work from home ad posting. Pay Rs 2000 registration. Earn Rs 25000 monthly. WhatsApp me.",scam
"Booking.com software engineer intern. Summer program. Java/Perl. Technical and behavioral interviews.",safe
"Earn Rs 10000 daily. Pay Rs 1000 upfront fee. Guaranteed returns. WhatsApp only.",scam
"Tripadvisor software engineer intern. Summer program. Java/Python. Technical and behavioral interviews.",safe
"Data entry work from home. Pay Rs 1500 security deposit. Earn Rs 20000 monthly. No experience needed.",scam
"Yelp software engineer intern. Summer program. Python/Java. Technical and behavioral interviews.",safe
"Make money online. Pay Rs 2000 registration. Earn Rs 25000 monthly. Work from mobile.",scam
"OpenTable software engineer intern. Summer program. Java/Node.js. Technical and behavioral interviews.",safe
"Work from home typing job. Pay Rs 500 joining fee. Earn Rs 10000 monthly. Immediate start.",scam
"Grubhub software engineer intern. Summer program. Java/Python. Technical and behavioral interviews.",safe
"Earn Rs 5000 daily. Pay Rs 1500 activation fee. Guaranteed income. WhatsApp only.",scam
"Seamless software engineer intern. Summer program. Java/Python. Technical and behavioral interviews.",safe
"Data entry job. Pay Rs 2000 for training. Earn Rs 25000 monthly. Work from home.",scam
"Postmates software engineer intern. Summer program. Python/Go. Technical and behavioral interviews.",safe
"Make money typing captcha. Pay Rs 1000 registration. Earn Rs 15000 monthly. Immediate start.",scam
"Caviar software engineer intern. Summer program. Ruby/Python. Technical and behavioral interviews.",safe
"Work from home ad posting. Pay Rs 1500 security deposit. Earn Rs 20000 monthly. WhatsApp me.",scam
"Instacart software engineer intern. Summer program. Ruby/Python. Technical and behavioral interviews.",safe
"Earn Rs 10000 daily. Pay Rs 2000 upfront fee. Guaranteed returns. WhatsApp only.",scam
"Shipt software engineer intern. Summer program. Ruby/Python. Technical and behavioral interviews.",safe
"Data entry work from home. Pay Rs 500 joining fee. Earn Rs 10000 monthly. No experience needed.",scam
"FreshDirect software engineer intern. Summer program. Java/Python. Technical and behavioral interviews.",safe
"Make money online. Pay Rs 1500 activation fee. Earn Rs 20000 monthly. Work from mobile.",scam
"Peapod software engineer intern. Summer program. Java/Python. Technical and behavioral interviews.",safe
"Work from home typing job. Pay Rs 2000 registration. Earn Rs 25000 monthly. Immediate start.",scam
"Amazon Fresh software engineer intern. Summer program. Java/Python. Technical and behavioral interviews.",safe
"Earn Rs 5000 daily. Pay Rs 1000 security deposit. Guaranteed income. WhatsApp only.",scam
"Walmart Grocery software engineer intern. Summer program. Java/Python. Technical and behavioral interviews.",safe
"Data entry job. Pay Rs 1500 upfront fee. Earn Rs 20000 monthly. Work from home.",scam
"Target Grocery software engineer intern. Summer program. Java/Python. Technical and behavioral interviews.",safe
"Make money typing captcha. Pay Rs 500 joining fee. Earn Rs 10000 monthly. Immediate start.",scam
"Kroger Grocery software engineer intern. Summer program. Java/Python. Technical and behavioral interviews.",safe
"Work from home ad posting. Pay Rs 1500 activation fee. Earn Rs 20000 monthly. WhatsApp me.",scam
"Safeway Grocery software engineer intern. Summer program. Java/Python. Technical and behavioral interviews.",safe
"Earn Rs 10000 daily. Pay Rs 2000 registration. Guaranteed returns. WhatsApp only.",scam
"Whole Foods software engineer intern. Summer program. Java/Python. Technical and behavioral interviews.",safe
"Data entry work from home. Pay Rs 1000 security deposit. Earn Rs 15000 monthly. No experience needed.",scam
"Trader Joes software engineer intern. Summer program. Java/Python. Technical and behavioral interviews.",safe
"Make money online. Pay Rs 1500 upfront fee. Earn Rs 20000 monthly. Work from mobile.",scam
"Aldi software engineer intern. Summer program. Java/Python. Technical and behavioral interviews.",safe
"Work from home typing job. Pay Rs 500 joining fee. Earn Rs 10000 monthly. Immediate start.",scam
"Lidl software engineer intern. Summer program. Java/Python. Technical and behavioral interviews.",safe
"Earn Rs 5000 daily. Pay Rs 1500 activation fee. Guaranteed income. WhatsApp only.",scam
"Publix software engineer intern. Summer program. Java/Python. Technical and behavioral interviews.",safe
"Data entry job. Pay Rs 2000 registration. Earn Rs 25000 monthly. Work from home.",scam
"HEB software engineer intern. Summer program. Java/Python. Technical and behavioral interviews.",safe
"Make money typing captcha. Pay Rs 1000 security deposit. Earn Rs 15000 monthly. Immediate start.",scam
"Meijer software engineer intern. Summer program. Java/Python. Technical and behavioral interviews.",safe
"Work from home ad posting. Pay Rs 1500 upfront fee. Earn Rs 20000 monthly. WhatsApp me.",scam
"Hy-Vee software engineer intern. Summer program. Java/Python. Technical and behavioral interviews.",safe
"Earn Rs 10000 daily. Pay Rs 500 joining fee. Guaranteed returns. WhatsApp only.",scam
"Wegmans software engineer intern. Summer program. Java/Python. Technical and behavioral interviews.",safe
"Data entry work from home. Pay Rs 1500 activation fee. Earn Rs 20000 monthly. No experience needed.",scam
"Giant Eagle software engineer intern. Summer program. Java/Python. Technical and behavioral interviews.",safe
"Make money online. Pay Rs 2000 registration. Earn Rs 25000 monthly. Work from mobile.",scam
"ShopRite software engineer intern. Summer program. Java/Python. Technical and behavioral interviews.",safe
"Work from home typing job. Pay Rs 1000 security deposit. Earn Rs 15000 monthly. Immediate start.",scam
"Stop & Shop software engineer intern. Summer program. Java/Python. Technical and behavioral interviews.",safe
"Earn Rs 5000 daily. Pay Rs 1500 upfront fee. Guaranteed income. WhatsApp only.",scam
"Jewel-Osco software engineer intern. Summer program. Java/Python. Technical and behavioral interviews.",safe
"Data entry job. Pay Rs 500 joining fee. Earn Rs 10000 monthly. Work from home.",scam
"Vons software engineer intern. Summer program. Java/Python. Technical and behavioral interviews.",safe
"Make money typing captcha. Pay Rs 1500 activation fee. Earn Rs 20000 monthly. Immediate start.",scam
"Pavilions software engineer intern. Summer program. Java/Python. Technical and behavioral interviews.",safe
"Work from home ad posting. Pay Rs 2000 registration. Earn Rs 25000 monthly. WhatsApp me.",scam
"Randalls software engineer intern. Summer program. Java/Python. Technical and behavioral interviews.",safe
"Earn Rs 10000 daily. Pay Rs 1000 security deposit. Guaranteed returns. WhatsApp only.",scam
"Tom Thumb software engineer intern. Summer program. Java/Python. Technical and behavioral interviews.",safe
"Data entry work from home. Pay Rs 1500 upfront fee. Earn Rs 20000 monthly. No experience needed.",scam
"Carrs software engineer intern. Summer program. Java/Python. Technical and behavioral interviews.",safe
"Make money online. Pay Rs 500 joining fee. Earn Rs 10000 monthly. Work from mobile.",scam
"Star Market software engineer intern. Summer program. Java/Python. Technical and behavioral interviews.",safe
"Work from home typing job. Pay Rs 1500 activation fee. Earn Rs 20000 monthly. Immediate start.",scam
"Shaws software engineer intern. Summer program. Java/Python. Technical and behavioral interviews.",safe
"Earn Rs 5000 daily. Pay Rs 2000 registration. Guaranteed income. WhatsApp only.",scam
"Acme Markets software engineer intern. Summer program. Java/Python. Technical and behavioral interviews.",safe
"Data entry job. Pay Rs 1000 security deposit. Earn Rs 15000 monthly. Work from home.",scam
"Kings Food Markets software engineer intern. Summer program. Java/Python. Technical and behavioral interviews.",safe
"Make money typing captcha. Pay Rs 1500 upfront fee. Earn Rs 20000 monthly. Immediate start.",scam
"Balduccis software engineer intern. Summer program. Java/Python. Technical and behavioral interviews.",safe
"Work from home ad posting. Pay Rs 500 joining fee. Earn Rs 10000 monthly. WhatsApp me.",scam
"Haggen software engineer intern. Summer program. Java/Python. Technical and behavioral interviews.",safe
"Earn Rs 10000 daily. Pay Rs 1500 activation fee. Guaranteed returns. WhatsApp only.",scam
"Andronicos software engineer intern. Summer program. Java/Python. Technical and behavioral interviews.",safe
"Data entry work from home. Pay Rs 2000 registration. Earn Rs 25000 monthly. No experience needed.",scam
"Pavilions software engineer intern. Summer program. Java/Python. Technical and behavioral interviews.",safe
"Make money online. Pay Rs 1000 security deposit. Earn Rs 15000 monthly. Work from mobile.",scam
"Randalls software engineer intern. Summer program. Java/Python. Technical and behavioral interviews.",safe
"Work from home typing job. Pay Rs 1500 upfront fee. Earn Rs 20000 monthly. Immediate start.",scam
"Tom Thumb software engineer intern. Summer program. Java/Python. Technical and behavioral interviews.",safe
"Earn Rs 5000 daily. Pay Rs 500 joining fee. Guaranteed income. WhatsApp only.",scam
"Carrs software engineer intern. Summer program. Java/Python. Technical and behavioral interviews.",safe
"Data entry job. Pay Rs 1500 activation fee. Earn Rs 20000 monthly. Work from home.",scam
"Star Market software engineer intern. Summer program. Java/Python. Technical and behavioral interviews.",safe
"Make money typing captcha. Pay Rs 2000 registration. Earn Rs 25000 monthly. Immediate start.",scam
"Shaws software engineer intern. Summer program. Java/Python. Technical and behavioral interviews.",safe
"Work from home ad posting. Pay Rs 1000 security deposit. Earn Rs 15000 monthly. WhatsApp me.",scam
"Acme Markets software engineer intern. Summer program. Java/Python. Technical and behavioral interviews.",safe
"Earn Rs 10000 daily. Pay Rs 1500 upfront fee. Guaranteed returns. WhatsApp only.",scam
"Kings Food Markets software engineer intern. Summer program. Java/Python. Technical and behavioral interviews.",safe
"Data entry work from home. Pay Rs 500 joining fee. Earn Rs 10000 monthly. No experience needed.",scam
"Balduccis software engineer intern. Summer program. Java/Python. Technical and behavioral interviews.",safe
"Make money online. Pay Rs 1500 activation fee. Earn Rs 20000 monthly. Work from mobile.",scam
"Haggen software engineer intern. Summer program. Java/Python. Technical and behavioral interviews.",safe
"Work from home typing job. Pay Rs 2000 registration. Earn Rs 25000 monthly. Immediate start.",scam
"Andronicos software engineer intern. Summer program. Java/Python. Technical and behavioral interviews.",safe
